OBJECTID1,OBJECTID,CountyName,StateAbbr,SHAPE_Leng,USDA_Counties_code,join_OBJECTID,Field1,asd_code,asd_desc,county_code,county_name,BeefCows,Hogs,MilkCows,OtherCattle,CornAcresPlanted,CornGrainAcresHarvested,CornGrainYield_bupacre,CornSilageAcresHarvested,CornSilageYield_tonspacre,SoybeansAcresHarvested,SoybeansAcresPlanted,SoybeansYield_bupacre,Year,MEAN_Nrate_lbperac,CommercialN_kg_ha,ManureN_kg_ha,GrainN_kg_ha,FixatedN_kg_ha,NitrogenSurplus_kg_ha,Creator,Created,Editor,Edited,Shape__Area,Shape__Length
2255,72,Adair,IA,1.610861046,1,1,0,70,SOUTHWEST,1,ADAIR,23830,36650,314,0,99500,96400,120.1,2800,15.8,94500,95900,40.1,1/1/1997 0:00,56.81550976,63.69019,21.36257,130.3546,58.06384,12.762,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2256,72,Adair,IA,1.610861046,1,2,1,70,SOUTHWEST,1,ADAIR,23521.8,35024,290.2,6157.8,104600,101300,142.7,3300,16.5,94500,95100,43.4,1/1/1998 0:00,55.71558441,62.45717,23.17042,144.8331,64.83627,5.63076,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2257,72,Adair,IA,1.610861046,1,3,2,70,SOUTHWEST,1,ADAIR,23213.6,33398,266.4,12315.6,106000,103600,139.3,2300,13.3,100800,101000,42.2,1/1/1999 0:00,57.44247617,64.39301,24.54116,141.8626,63.26471,10.33628,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2258,72,Adair,IA,1.610861046,1,4,3,70,SOUTHWEST,1,ADAIR,22905.4,31772,242.6,18473.4,105000,102700,131.8,2000,14.9,101800,102000,40,1/1/2000 0:00,54.026953,60.56421,26.72903,134.7242,58.02995,10.59899,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2259,72,Adair,IA,1.610861046,1,5,4,70,SOUTHWEST,1,ADAIR,22597.2,30146,218.8,24631.2,102000,99600,127.3,2000,16.3,98400,99000,39.2,1/1/2001 0:00,50.88035583,57.03688,29.78008,131.2747,55.87409,11.41635,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2260,72,Adair,IA,1.610861046,1,6,5,70,SOUTHWEST,1,ADAIR,22289,28520,195,30789,108000,105000,154.3,2500,14.8,96300,97000,47.2,1/1/2002 0:00,49.32756778,55.2962,31.40821,156.7944,74.14333,4.05334,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2261,72,Adair,IA,1.610861046,1,7,6,70,SOUTHWEST,1,ADAIR,21436.4,26022.6,174.8,29022.6,103500,100500,131.3,2500,16.4,100600,101000,28.1,1/1/2003 0:00,52.12879059,58.43637,29.84994,109.0998,26.38709,5.5736,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2262,72,Adair,IA,1.610861046,1,8,7,70,SOUTHWEST,1,ADAIR,20583.8,23525.2,154.6,27256.2,108000,106000,182.1,1900,16.8,97700,98000,51.7,1/1/2004 0:00,58.27580405,65.32718,28.00942,176.9079,86.11853,2.54723,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2263,72,Adair,IA,1.610861046,1,9,8,70,SOUTHWEST,1,ADAIR,19731.2,21027.8,134.4,25489.8,109000,106500,159,2200,17.2,96000,96500,48.8,1/1/2005 0:00,59.88152647,67.12719,26.45046,161.5062,77.64391,9.71536,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
2264,72,Adair,IA,1.610861046,1,10,9,70,SOUTHWEST,1,ADAIR,18878.6,18530.4,114.2,23723.4,104000,103300,164.9,600,19.2,101000,101500,51,1/1/2006 0:00,60.67033317,68.01144,24.82335,170.2698,87.5419,10.10689,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,jbrittes@iastate.edu_ISUGISF,9/8/2022 19:44,1476935875,153805.7491
