County,FIPS Code,Latitude,Longitude
Adair,19001,41.3307,-94.4709
Adams,19003,41.029,-94.6992
Allamakee,19005,43.2843,-91.3781
Appanoose,19007,40.7431,-92.8686
Audubon,19009,41.6846,-94.9058
Benton,19011,42.0801,-92.0657
Black Hawk,19013,42.4701,-92.3088
Boone,19015,42.0365,-93.9317
Bremer,19017,42.7746,-92.3181
Buchanan,19019,42.4708,-91.8379
Buena Vista,19021,42.7355,-95.1511
Butler,19023,42.7316,-92.7902
Calhoun,19025,42.3852,-94.6404
Carroll,19027,42.0362,-94.8606
Cass,19029,41.3315,-94.9278
Cedar,19031,41.7723,-91.1324
Cerro Gordo,19033,43.0816,-93.2608
Cherokee,19035,42.7356,-95.6238
Chickasaw,19037,43.0601,-92.3177
Clarke,19039,41.029,-93.7851
Clay,19041,43.0826,-95.1509
Clayton,19043,42.8448,-91.3415
Clinton,19045,41.898,-90.532
Crawford,19047,42.0372,-95.3821
Dallas,19049,41.6849,-94.0397
Davis,19051,40.7477,-92.4097
Decatur,19053,40.7377,-93.7863
Delaware,19055,42.4712,-91.3673
Des Moines,19057,40.9232,-91.1815
Dickinson,19059,43.378,-95.1509
Dubuque,19061,42.4688,-90.8824
Emmet,19063,43.378,-94.6785
Fayette,19065,42.8626,-91.8443
Floyd,19067,43.0599,-92.789
Franklin,19069,42.7325,-93.2624
Fremont,19071,40.7456,-95.6047
Greene,19073,42.0362,-94.3969
Grundy,19075,42.4019,-92.7914
Guthrie,19077,41.6838,-94.501
Hamilton,19079,42.3838,-93.7068
Hancock,19081,43.0819,-93.7343
Hardin,19083,42.3838,-93.2404
Harrison,19085,41.6829,-95.8167
Henry,19087,40.9879,-91.5446
Howard,19089,43.3568,-92.3172
Humboldt,19091,42.7764,-94.2072
Ida,19093,42.3869,-95.5135
Iowa,19095,41.6863,-92.0655
Jackson,19097,42.1717,-90.5742
Jasper,19099,41.686,-93.0537
Jefferson,19101,41.0317,-91.9489
Johnson,19103,41.6715,-91.5881
Jones,19105,42.1212,-91.1314
Keokuk,19107,41.3364,-92.1786
Kossuth,19109,43.2041,-94.2067
Lee,19111,40.642,-91.4793
Linn,19113,42.079,-91.5989
Louisa,19115,41.2185,-91.2596
Lucas,19117,41.0294,-93.3277
Lyon,19119,43.3805,-96.2103
Madison,19121,41.3307,-94.0155
Mahaska,19123,41.3352,-92.6409
Marion,19125,41.3345,-93.0995
Marshall,19127,42.0358,-92.9988
Mills,19129,41.0335,-95.6213
Mitchell,19131,43.3564,-92.7891
Monona,19133,42.0516,-95.96
Monroe,19135,41.0298,-92.869
Montgomery,19137,41.0301,-95.1564
Muscatine,19139,41.4839,-91.1128
Obrien,19141,43.0838,-95.6249
Osceola,19143,43.3786,-95.6237
Page,19145,40.7391,-95.1502
Palo Alto,19147,43.0821,-94.6781
Plymouth,19149,42.7378,-96.2142
Pocahontas,19151,42.7341,-94.6787
Polk,19153,41.6854,-93.5734
Pottawattamie,19155,41.3366,-95.5423
Poweshiek,19157,41.6864,-92.5314
Ringgold,19159,40.7352,-94.244
Sac,19161,42.3862,-95.1054
Scott,19163,41.6371,-90.6232
Shelby,19165,41.6851,-95.3102
Sioux,19167,43.0826,-96.1779
Story,19169,42.0362,-93.4651
Tama,19171,42.0798,-92.5325
Taylor,19173,40.7374,-94.6965
Union,19175,41.0277,-94.2424
Van Buren,19177,40.7532,-91.95
Wapello,19179,41.0306,-92.4094
Warren,19181,41.3343,-93.5614
Washington,19183,41.3356,-91.7179
Wayne,19185,40.7395,-93.3274
Webster,19187,42.4279,-94.1818
Winnebago,19189,43.3776,-93.7342
Winneshiek,19191,43.2907,-91.8437
Woodbury,19193,42.3897,-96.0447
Worth,19195,43.3774,-93.2609
Wright,19197,42.7331,-93.7352
