Name,Longitude,Latitude,Elevation (ft),Date,Year,Month,ppt (inches),tmean (degrees F)
"Adair, Iowa",-94.4709,41.3307,1319,1997-01,1997,1,0.73,17.1
"Adair, Iowa",-94.4709,41.3307,1319,1997-02,1997,2,1.14,27.8
"Adair, Iowa",-94.4709,41.3307,1319,1997-03,1997,3,0.78,40.5
"Adair, Iowa",-94.4709,41.3307,1319,1997-04,1997,4,4.3,46.1
"Adair, Iowa",-94.4709,41.3307,1319,1997-05,1997,5,4.19,55.9
"Adair, Iowa",-94.4709,41.3307,1319,1997-06,1997,6,1.98,72.2
"Adair, Iowa",-94.4709,41.3307,1319,1997-07,1997,7,1.03,75.9
"Adair, Iowa",-94.4709,41.3307,1319,1997-08,1997,8,1.73,72.1
"Adair, Iowa",-94.4709,41.3307,1319,1997-09,1997,9,3.06,67.1
"Adair, Iowa",-94.4709,41.3307,1319,1997-10,1997,10,3.62,54
"Adair, Iowa",-94.4709,41.3307,1319,1997-11,1997,11,1.51,35.4
"Adair, Iowa",-94.4709,41.3307,1319,1997-12,1997,12,1.18,28.4
"Adair, Iowa",-94.4709,41.3307,1319,1998-01,1998,1,1.03,25
"Adair, Iowa",-94.4709,41.3307,1319,1998-02,1998,2,1.7,36
"Adair, Iowa",-94.4709,41.3307,1319,1998-03,1998,3,3.97,32
"Adair, Iowa",-94.4709,41.3307,1319,1998-04,1998,4,1.9,50.3
"Adair, Iowa",-94.4709,41.3307,1319,1998-05,1998,5,5.87,66.2
"Adair, Iowa",-94.4709,41.3307,1319,1998-06,1998,6,7.04,68.1
"Adair, Iowa",-94.4709,41.3307,1319,1998-07,1998,7,6.22,75.8
"Adair, Iowa",-94.4709,41.3307,1319,1998-08,1998,8,2.9,75
"Adair, Iowa",-94.4709,41.3307,1319,1998-09,1998,9,1.31,71.9
"Adair, Iowa",-94.4709,41.3307,1319,1998-10,1998,10,3.22,55.8
"Adair, Iowa",-94.4709,41.3307,1319,1998-11,1998,11,2.15,42.9
"Adair, Iowa",-94.4709,41.3307,1319,1998-12,1998,12,0.38,31.1
"Adair, Iowa",-94.4709,41.3307,1319,1999-01,1999,1,0.71,20.8
"Adair, Iowa",-94.4709,41.3307,1319,1999-02,1999,2,1.38,35
"Adair, Iowa",-94.4709,41.3307,1319,1999-03,1999,3,1.15,37.9
"Adair, Iowa",-94.4709,41.3307,1319,1999-04,1999,4,6.45,51.1
"Adair, Iowa",-94.4709,41.3307,1319,1999-05,1999,5,6.49,61.2
"Adair, Iowa",-94.4709,41.3307,1319,1999-06,1999,6,4.08,70.6
"Adair, Iowa",-94.4709,41.3307,1319,1999-07,1999,7,3.02,78.6
"Adair, Iowa",-94.4709,41.3307,1319,1999-08,1999,8,3.34,71.9
"Adair, Iowa",-94.4709,41.3307,1319,1999-09,1999,9,2.15,63.6
"Adair, Iowa",-94.4709,41.3307,1319,1999-10,1999,10,0.37,54.1
"Adair, Iowa",-94.4709,41.3307,1319,1999-11,1999,11,1.41,48.3
"Adair, Iowa",-94.4709,41.3307,1319,1999-12,1999,12,0.45,29.6
"Adair, Iowa",-94.4709,41.3307,1319,2000-01,2000,1,0.29,26.4
"Adair, Iowa",-94.4709,41.3307,1319,2000-02,2000,2,1.71,35.1
"Adair, Iowa",-94.4709,41.3307,1319,2000-03,2000,3,1.24,44.4
"Adair, Iowa",-94.4709,41.3307,1319,2000-04,2000,4,1.85,52.4
"Adair, Iowa",-94.4709,41.3307,1319,2000-05,2000,5,1.45,65.7
"Adair, Iowa",-94.4709,41.3307,1319,2000-06,2000,6,5.45,70.3
